movie_id,cluster,rating,raters
tt0035423,8,6.4,85923
tt0088751,12,5.3,328
tt0096056,6,5.6,830
tt0113092,3,3.4,829
tt0116391,3,6.2,257
tt0117461,8,6.3,24
tt0117743,14,6.8,62
tt0118652,9,4.9,1851
tt0118852,6,7.1,4405
tt0118926,1,6.9,6701
tt0119004,13,5.6,4535
tt0119231,0,4.6,187
tt0119273,2,5.4,8863
tt0120166,0,4.3,614
tt0120202,13,6.7,21574
tt0120467,1,5.2,4170
tt0120630,0,7.1,195516
tt0120667,2,5.7,333013
tt0120679,14,7.3,91196
tt0120681,9,6.7,157978
tt0120698,13,4.4,360
tt0120737,3,8.8,1885329
tt0120753,1,5.8,21830
tt0120755,15,6.1,347156
tt0120804,12,6.6,274817
tt0120824,6,6.7,33271
tt0120870,12,5.2,62
tt0120903,2,7.3,620512
tt0120912,2,6.1,380462
tt0120913,2,6.6,62031
tt0120917,0,7.4,208123
tt0121164,6,7.3,279455
tt0121569,15,0.0,0
tt0121765,2,6.6,717376
tt0121766,2,7.6,798094
tt0122161,1,4.8,420
tt0122247,9,5.2,774
tt0122459,7,6.9,21598
tt0123003,13,6.0,1561
tt0123581,0,5.1,74
tt0124889,0,5.4,111
tt0125022,8,6.2,55556
tt0126029,0,7.9,685283
tt0127349,4,6.5,7324
tt0129095,6,8.1,18
tt0130623,6,6.4,62492
tt0131597,2,5.2,24
tt0131704,0,4.3,20581
tt0132245,3,4.6,41781
tt0132885,15,4.6,388
tt0132910,2,4.9,11753
tt0133152,2,5.7,221880
tt0133240,0,7.2,121791
tt0133752,1,6.6,105
tt0134084,9,5.6,146606
tt0134630,13,6.1,9736
tt0134847,12,7.1,242907
tt0134983,11,4.8,18389
tt0135707,6,6.3,393
tt0138353,3,5.7,646
tt0138524,8,6.3,98777
tt0138749,0,6.9,99076
tt0138927,6,6.5,438
tt0138946,14,6.4,21931
tt0139388,8,5.6,2276
tt0139654,3,7.7,441974
tt0140806,6,6.8,105
tt0141120,15,4.0,367
tt0141907,8,4.5,5051
tt0141926,2,6.6,83407
tt0142650,8,4.6,270
tt0144084,3,7.6,632150
tt0144142,13,5.1,3911
tt0144528,8,4.4,51692
tt0144608,2,4.5,666
tt0144964,2,4.6,20656
tt0145487,2,7.4,824098
tt0146309,1,7.3,59790
tt0146316,2,5.7,211690
tt0146803,6,7.6,520
tt0146882,13,7.4,182459
tt0146984,6,6.7,57805
tt0148421,6,6.6,340
tt0149367,13,6.3,6179
tt0149624,14,5.8,15201
tt0150021,2,4.5,1944
tt0151150,3,6.1,10429
tt0151309,0,6.0,147
tt0153012,1,4.1,113
tt0153100,6,7.2,46
tt0153464,14,6.0,2752
tt0156020,5,6.1,687
tt0156323,0,5.6,9248
tt0156376,8,6.7,113
tt0156807,0,4.3,1150
tt0156812,13,7.0,20802
tt0156841,7,4.6,11424
tt0156942,6,5.4,188
tt0157472,2,5.2,14589
tt0157583,4,6.4,21348
tt0157836,11,2.8,920
tt0158033,5,5.9,1787
tt0158622,8,3.7,24106
tt0159273,1,6.4,107384
tt0159291,0,4.9,286
tt0159365,14,7.2,150645
tt0159378,3,5.3,41
tt0159396,15,3.7,157
tt0159784,5,6.2,6968
tt0160009,2,5.7,30225
tt0160127,2,5.6,189303
tt0160256,15,5.7,202
tt0160289,4,5.5,1423
tt0160399,4,6.2,23996
tt0160403,0,5.9,1333
tt0160434,15,4.2,220
tt0160447,0,4.8,217
tt0160484,1,4.8,11079
tt0160495,4,4.7,1001
tt0160547,13,5.0,418
tt0160611,0,6.3,14044
tt0160616,1,5.8,286
tt0160644,4,5.5,3478
tt0160749,14,6.1,993
tt0160797,1,6.4,48581
tt0160905,0,5.2,598
tt0161081,4,6.6,128746
tt0161083,0,5.4,16113
tt0161216,14,6.4,2347
tt0162222,14,7.8,598349
tt0162346,13,7.3,122381
tt0162650,15,6.0,78070
tt0162711,0,4.9,1585
tt0162983,13,4.8,12788
tt0163025,2,5.9,326166
tt0163080,0,5.8,502
tt0163125,13,5.4,363
tt0163246,8,3.3,204
tt0163745,13,6.4,667
tt0163764,2,5.9,260
tt0163978,14,6.6,242333
tt0163983,3,5.1,14868
tt0164003,1,5.9,5582
tt0164052,12,5.8,133140
tt0164184,1,6.4,118781
tt0164212,1,6.4,26389
tt0164334,1,6.4,89439
tt0164545,6,3.7,488
tt0164810,8,6.1,1041
tt0164961,2,6.4,22470
tt0165361,3,6.1,6560
tt0165800,1,4.0,627
tt0165832,13,7.6,33917
tt0165929,15,6.1,71375
tt0165982,0,6.7,55798
tt0166110,12,4.4,7773
tt0166158,13,5.6,2447
tt0166276,0,4.8,18386
tt0166773,10,7.0,6
tt0166813,6,7.2,78155
tt0167096,0,6.4,23
tt0167116,15,6.0,3332
tt0167190,2,6.8,333622
tt0167203,5,5.5,4714
tt0167260,3,9.0,1855813
tt0167261,3,8.8,1675772
tt0167360,6,5.4,939
tt0168446,6,7.1,3333
tt0168629,3,7.9,111497
tt0168786,5,7.3,36526
tt0169102,6,8.1,115705
tt0169324,1,5.7,840
tt0170016,0,6.3,265879
tt0170452,3,5.1,635
tt0170691,6,7.0,41819
tt0171356,8,5.6,7606
tt0171359,1,5.9,9707
tt0171433,7,6.4,52301
tt0171580,13,6.3,35490
tt0172156,2,6.6,254539
tt0172464,2,3.1,492
tt0172495,3,8.5,1509148
tt0172632,6,6.6,1612
tt0172699,7,4.6,242
tt0173716,15,6.2,16027
tt0173840,2,6.4,82662
tt0174336,8,4.5,4218
tt0174480,14,5.6,27097
tt0175142,0,6.2,265681
tt0175526,9,5.2,13979
tt0176244,15,3.9,457
tt0176650,2,2.7,523
tt0176783,1,5.9,16777
tt0176883,0,5.2,296
tt0177068,3,5.2,778
tt0177195,13,4.2,411
tt0177650,0,5.2,2119
tt0177845,0,6.2,1402
tt0177885,0,4.5,484
tt0177888,1,5.9,572
tt0177971,3,6.5,170298
tt0177997,15,3.9,355
tt0178043,15,6.2,1319
tt0178050,13,5.6,1720
tt0178642,6,5.5,3105
tt0179098,14,6.6,14306
tt0179435,1,5.3,738
tt0179473,6,4.2,1536
tt0179626,3,6.1,50877
tt0179653,6,7.1,74
tt0179803,0,5.1,150
tt0179861,3,3.5,1224
tt0179915,0,3.7,46
tt0180052,2,3.8,26212
tt0180073,5,7.3,55022
tt0180093,6,8.3,848294
tt0180679,0,6.2,1904
tt0180683,13,6.2,141
tt0181151,0,5.6,9619
tt0181311,5,5.6,820
tt0181536,6,7.3,87062
tt0181689,2,7.6,557474
tt0181739,2,6.3,36844
tt0181836,2,5.7,2417
tt0181852,2,6.3,403485
tt0181865,1,7.6,209619
